股票名称,股票代码,多少天内最高量(20/60/120/240),板块名称,板块进3天涨幅超过1.5%天数
平安银行, 000001, 0, 标普道琼斯A股, 0
平安银行, 000001, 0, MSCI概念, 0
平安银行, 000001, 0, 深股通, 1
平安银行, 000001, 0, 证金持股, 0
万科A, 000002, 0, 标普道琼斯A股, 0
万科A, 000002, 0, 超级品牌, 0
万科A, 000002, 0, MSCI概念, 0
万科A, 000002, 0, 深股通, 1
万科A, 000002, 0, 体育产业, 0
万科A, 000002, 0, 同花顺漂亮100, 0
万科A, 000002, 0, 物业管理, 0
万科A, 000002, 0, 证金持股, 0
万科A, 000002, 0, 装配式建筑, 0
*ST国华, 000004, 0, 车联网, 1
*ST国华, 000004, 0, 电力物联网, 1
*ST国华, 000004, 0, 鸿蒙概念, 1
*ST国华, 000004, 0, 华为概念, 1
*ST国华, 000004, 0, 壳资源, 0
*ST国华, 000004, 0, 物联网, 1
*ST国华, 000004, 0, 信创, 1
*ST国华, 000004, 0, 网络安全, 1
*ST国华, 000004, 0, 摘帽, 1
*ST国华, 000004, 0, 5G, 1
深振业A, 000006, 20, 物业管理, 0
深振业A, 000006, 20, 粤港澳大湾区, 1
深振业A, 000006, 20, 证金持股, 0
全新好, 000007, 0, 举牌, 0
全新好, 000007, 0, ST板块, 0
全新好, 000007, 0, 粤港澳大湾区, 1
神州高铁, 000008, 0, 标普道琼斯A股, 0
神州高铁, 000008, 0, 工业4.0, 1
神州高铁, 000008, 0, 国企改革, 0
神州高铁, 000008, 0, 华为概念, 1
神州高铁, 000008, 0, 机器人概念, 1
神州高铁, 000008, 0, PPP概念, 1
神州高铁, 000008, 0, 融资融券, 1
神州高铁, 000008, 0, 深股通, 1
神州高铁, 000008, 0, 腾讯概念, 1
神州高铁, 000008, 0, 央企国企改革, 0
神州高铁, 000008, 0, 一带一路, 0
神州高铁, 000008, 0, 云计算, 1
神州高铁, 000008, 0, 智能物流, 2
神州高铁, 000008, 0, 智能制造, 1
神州高铁, 000008, 0, 职业教育, 1
美丽生态, 000010, 0, 煤炭概念, 0
美丽生态, 000010, 0, PPP概念, 1
美丽生态, 000010, 0, 新型城镇化, 1
深物业A, 000011, 20, 物业管理, 0
深物业A, 000011, 20, 新型城镇化, 1
深物业A, 000011, 20, 一带一路, 0
深物业A, 000011, 20, 粤港澳大湾区, 1
南玻A, 000012, 0, 标普道琼斯A股, 0
南玻A, 000012, 0, 光伏概念, 1
南玻A, 000012, 0, 军工, 1
南玻A, 000012, 0, OLED, 1
南玻A, 000012, 0, 融资融券, 1
南玻A, 000012, 0, 深股通, 1
南玻A, 000012, 0, 特斯拉, 1
南玻A, 000012, 0, 雄安新区, 1
南玻A, 000012, 0, 一带一路, 0
沙河股份, 000014, 20, 物业管理, 0
沙河股份, 000014, 20, 粤港澳大湾区, 1
深康佳A, 000016, 0, 标普道琼斯A股, 0
深康佳A, 000016, 0, 超清视频, 1
深康佳A, 000016, 0, 创投, 1
深康佳A, 000016, 0, 存储芯片, 1
深康佳A, 000016, 0, 电子商务, 0
深康佳A, 000016, 0, 分拆上市意愿, 0
深康佳A, 000016, 0, 家用电器, 0
深康佳A, 000016, 0, MiniLED, 1
深康佳A, 000016, 0, PPP概念, 1
深康佳A, 000016, 0, 深股通, 1
深康佳A, 000016, 0, 腾讯概念, 1
深康佳A, 000016, 0, 网约车, 2
深康佳A, 000016, 0, 污水处理, 0
深康佳A, 000016, 0, 消费电子概念, 1
深康佳A, 000016, 0, 芯片概念, 1
深康佳A, 000016, 0, 央企国企改革, 0
深康佳A, 000016, 0, 智能家居, 1
深中华A, 000017, 0, 锂电池, 1
深中华A, 000017, 0, 黄金概念, 0
深中华A, 000017, 0, 新零售, 0
深中华A, 000017, 0, 粤港澳大湾区, 1
深粮控股, 000019, 0, 标普道琼斯A股, 0
深粮控股, 000019, 0, 电子商务, 0
深粮控股, 000019, 0, 国企改革, 0
深粮控股, 000019, 0, 冷链物流, 0
深粮控股, 000019, 0, 深股通, 1
深粮控股, 000019, 0, 一带一路, 0
深粮控股, 000019, 0, 预制菜, 0
深华发A, 000020, 60, 粤港澳大湾区, 1
深科技, 000021, 120, 超级电容, 1
深科技, 000021, 120, 存储芯片, 1
深科技, 000021, 120, 工业4.0, 1
深科技, 000021, 120, 华为概念, 1
深科技, 000021, 120, 集成电路概念, 1
深科技, 000021, 120, 节能照明, 1
深科技, 000021, 120, MSCI概念, 0
深科技, 000021, 120, 区块链, 1
深科技, 000021, 120, 无人机, 1
深科技, 000021, 120, 先进封装, 1
深科技, 000021, 120, 消费电子概念, 1
深科技, 000021, 120, 新能源汽车, 1
深科技, 000021, 120, 芯片概念, 1
深科技, 000021, 120, 央企国企改革, 0
深科技, 000021, 120, 医疗器械概念, 0
深科技, 000021, 120, 智能电网, 1
深科技, 000021, 120, 智能制造, 1
特力A, 000025, 0, 标普道琼斯A股, 0
