股票名称,股票代码,多少天内最高量(20/60/120/240),板块名称,板块进3天涨幅超过1.5%天数
平安银行, 000001, 60, 标普道琼斯A股, 0
平安银行, 000001, 60, MSCI概念, 0
平安银行, 000001, 60, 深股通, 0
平安银行, 000001, 60, 证金持股, 0
万科A, 000002, 0, 标普道琼斯A股, 0
万科A, 000002, 0, 超级品牌, 0
万科A, 000002, 0, MSCI概念, 0
万科A, 000002, 0, 深股通, 0
万科A, 000002, 0, 体育产业, 0
万科A, 000002, 0, 同花顺漂亮100, 0
万科A, 000002, 0, 物业管理, 0
万科A, 000002, 0, 证金持股, 0
万科A, 000002, 0, 装配式建筑, 0
国华网安, 000004, 0, 车联网, 0
国华网安, 000004, 0, 电力物联网, 0
国华网安, 000004, 0, 鸿蒙概念, 0
国华网安, 000004, 0, 华为概念, 0
国华网安, 000004, 0, 壳资源, 0
国华网安, 000004, 0, 物联网, 0
国华网安, 000004, 0, 信创, 0
国华网安, 000004, 0, 网络安全, 0
国华网安, 000004, 0, 摘帽, 0
国华网安, 000004, 0, 5G, 0
ST星源, 000005, 0, 广东自贸区, 0
ST星源, 000005, 0, 固废处理, 0
ST星源, 000005, 0, ST板块, 0
ST星源, 000005, 0, 土壤修复, 0
深振业A, 000006, 0, 物业管理, 0
深振业A, 000006, 0, 粤港澳大湾区, 0
深振业A, 000006, 0, 证金持股, 0
*ST全新, 000007, 20, 举牌, 0
*ST全新, 000007, 20, ST板块, 0
*ST全新, 000007, 20, 粤港澳大湾区, 0
神州高铁, 000008, 0, 标普道琼斯A股, 0
神州高铁, 000008, 0, 工业4.0, 0
神州高铁, 000008, 0, 国企改革, 0
神州高铁, 000008, 0, 华为概念, 0
神州高铁, 000008, 0, 机器人概念, 0
神州高铁, 000008, 0, PPP概念, 0
神州高铁, 000008, 0, 融资融券, 0
神州高铁, 000008, 0, 深股通, 0
神州高铁, 000008, 0, 腾讯概念, 0
神州高铁, 000008, 0, 央企国企改革, 0
神州高铁, 000008, 0, 一带一路, 0
神州高铁, 000008, 0, 云计算, 0
神州高铁, 000008, 0, 智能物流, 0
神州高铁, 000008, 0, 智能制造, 0
神州高铁, 000008, 0, 职业教育, 0
中国宝安, 000009, 0, 标普道琼斯A股, 0
中国宝安, 000009, 0, 北交所概念, 0
中国宝安, 000009, 0, 比亚迪概念, 1
中国宝安, 000009, 0, 宁德时代概念, 0
中国宝安, 000009, 0, 参股新三板, 0
中国宝安, 000009, 0, 充电桩, 0
中国宝安, 000009, 0, 创投, 0
中国宝安, 000009, 0, 储能, 0
中国宝安, 000009, 0, 锂电池, 0
中国宝安, 000009, 0, 分拆上市意愿, 0
中国宝安, 000009, 0, 军工, 0
中国宝安, 000009, 0, 融资融券, 0
中国宝安, 000009, 0, 深股通, 0
中国宝安, 000009, 0, 生物医药, 0
中国宝安, 000009, 0, 土地流转, 0
中国宝安, 000009, 0, 物业管理, 0
中国宝安, 000009, 0, 小金属概念, 0
中国宝安, 000009, 0, 新能源汽车, 1
中国宝安, 000009, 0, 粤港澳大湾区, 0
美丽生态, 000010, 0, 煤炭概念, 0
美丽生态, 000010, 0, PPP概念, 0
美丽生态, 000010, 0, 新型城镇化, 0
深物业A, 000011, 0, 物业管理, 0
深物业A, 000011, 0, 新型城镇化, 0
深物业A, 000011, 0, 一带一路, 0
深物业A, 000011, 0, 粤港澳大湾区, 0
南玻A, 000012, 0, 标普道琼斯A股, 0
南玻A, 000012, 0, 光伏概念, 0
南玻A, 000012, 0, 军工, 0
南玻A, 000012, 0, OLED, 0
南玻A, 000012, 0, 融资融券, 0
南玻A, 000012, 0, 深股通, 0
南玻A, 000012, 0, 特斯拉, 1
南玻A, 000012, 0, 雄安新区, 0
南玻A, 000012, 0, 一带一路, 0
沙河股份, 000014, 0, 物业管理, 0
沙河股份, 000014, 0, 粤港澳大湾区, 0
深康佳A, 000016, 0, 标普道琼斯A股, 0
深康佳A, 000016, 0, 超清视频, 0
深康佳A, 000016, 0, 创投, 0
深康佳A, 000016, 0, 存储芯片, 0
深康佳A, 000016, 0, 电子商务, 0
深康佳A, 000016, 0, 分拆上市意愿, 0
深康佳A, 000016, 0, 家用电器, 0
深康佳A, 000016, 0, MiniLED, 1
深康佳A, 000016, 0, PPP概念, 0
深康佳A, 000016, 0, 深股通, 0
深康佳A, 000016, 0, 腾讯概念, 0
深康佳A, 000016, 0, 网约车, 0
深康佳A, 000016, 0, 污水处理, 0
深康佳A, 000016, 0, 消费电子概念, 1
深康佳A, 000016, 0, 芯片概念, 0
深康佳A, 000016, 0, 央企国企改革, 0
深康佳A, 000016, 0, 智能家居, 0
深中华A, 000017, 0, 锂电池, 0
深中华A, 000017, 0, 黄金概念, 0
深中华A, 000017, 0, 新零售, 0
深中华A, 000017, 0, 粤港澳大湾区, 0
深粮控股, 000019, 0, 标普道琼斯A股, 0
深粮控股, 000019, 0, 电子商务, 0
深粮控股, 000019, 0, 国企改革, 0
深粮控股, 000019, 0, 冷链物流, 0
深粮控股, 000019, 0, 深股通, 0
深粮控股, 000019, 0, 一带一路, 0
深粮控股, 000019, 0, 预制菜, 0
